,Unnamed: 0,NeighborhoodBogota,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,0,CHAPINERO,4.6569,-74.0467,Bandido Bistro,4.661514382070441,-74.0503069564453,French Restaurant
2,2,CHAPINERO,4.6569,-74.0467,El Caracol Azul,4.656121278778127,-74.0532026967261,Peruvian Restaurant
3,3,CHAPINERO,4.6569,-74.0467,Harry Sasson,4.65902079525152,-74.05452478254735,Restaurant
14,14,CHAPINERO,4.6569,-74.0467,Osaki,4.653787276063438,-74.05461905719416,Sushi Restaurant
15,15,CHAPINERO,4.6569,-74.0467,La Divina Comedia Trattoria,4.6536495333152,-74.05500319906139,Italian Restaurant
19,19,CHAPINERO,4.6569,-74.0467,San Giorgio Trattoria,4.663629262549114,-74.0515058402944,Italian Restaurant
23,23,CHAPINERO,4.6569,-74.0467,Jockey Club,4.654410113228257,-74.0522734254733,Restaurant
26,26,CHAPINERO,4.6569,-74.0467,Club Colombia,4.665368243156612,-74.05096088829073,Latin American Restaurant
28,28,CHAPINERO,4.6569,-74.0467,Criterión,4.651834296490814,-74.0559240314272,French Restaurant
35,35,CHAPINERO,4.6569,-74.0467,El Cielo,4.651400125048276,-74.0546897824982,Latin American Restaurant
36,36,CHAPINERO,4.6569,-74.0467,Crepes & Waffles - Artesano,4.652392574801694,-74.0546384089213,Restaurant
44,44,CHAPINERO,4.6569,-74.0467,Fulanitos,4.664941227963346,-74.05328038536754,Caribbean Restaurant
46,46,CHAPINERO,4.6569,-74.0467,Bistecca e Vino,4.651035081109635,-74.05793086537695,Italian Restaurant
50,50,TUNJUELITO,4.5875,-74.1407,Country's Pizza,4.590904438069094,-74.13851327204105,Fast Food Restaurant
52,52,TUNJUELITO,4.5875,-74.1407,Tamales El Gordo,4.586183182646519,-74.12854351428504,Cajun / Creole Restaurant
57,57,TUNJUELITO,4.5875,-74.1407,Crepes & Waffles,4.593221632664357,-74.12397643045296,French Restaurant
69,69,TUNJUELITO,4.5875,-74.1407,Al Chile Comida Mexicana.,4.581355828546837,-74.11576338358931,Mexican Restaurant
71,71,TUNJUELITO,4.5875,-74.1407,La Poche Pescaderia,4.61206854353066,-74.13515846076845,Seafood Restaurant
73,73,TUNJUELITO,4.5875,-74.1407,Sopas de Mamá y Postres de la Abuela,4.5917412002929385,-74.12435773237902,Latin American Restaurant
79,79,TUNJUELITO,4.5875,-74.1407,El Carnal,4.591044520427467,-74.12447398102509,Mexican Restaurant
85,85,TUNJUELITO,4.5875,-74.1407,McDonald's,4.57832965192537,-74.13041033937334,Fast Food Restaurant
91,91,TUNJUELITO,4.5875,-74.1407,Mi Lindo Ranchito,4.611682212964724,-74.13233896824521,Restaurant
93,93,TUNJUELITO,4.5875,-74.1407,KFC,4.578355014214516,-74.13042180874075,Fast Food Restaurant
94,94,TUNJUELITO,4.5875,-74.1407,Don Jediondo - Centro Mayor,4.591520309448242,-74.12462615966797,Cajun / Creole Restaurant
105,105,ANTONIO NARIÑO,4.589768,-74.09906,Wenbrulee,4.585942121458626,-74.09984623580628,Restaurant
107,107,ANTONIO NARIÑO,4.589768,-74.09906,Bar Pescadero Del Restrepo,4.587760644947771,-74.10726946002409,Seafood Restaurant
109,109,ANTONIO NARIÑO,4.589768,-74.09906,El imperio del Pacifico,4.583197344845602,-74.10343244347999,Seafood Restaurant
127,127,ANTONIO NARIÑO,4.589768,-74.09906,Al Chile Comida Mexicana.,4.581355828546837,-74.11576338358931,Mexican Restaurant
130,130,ANTONIO NARIÑO,4.589768,-74.09906,El Viejo Rancho Tolimense,4.610749872265807,-74.09328313918797,Latin American Restaurant
132,132,ANTONIO NARIÑO,4.589768,-74.09906,Gaudi,4.603462,-74.098501375,Spanish Restaurant
139,139,ANTONIO NARIÑO,4.589768,-74.09906,Restaurante León,4.614509516631832,-74.10373111578258,South American Restaurant
143,143,ANTONIO NARIÑO,4.589768,-74.09906,Pescaderia Mar Y Mar,4.614257287791292,-74.10232956285506,Seafood Restaurant
144,144,ANTONIO NARIÑO,4.589768,-74.09906,Maria Tomasa - Cocina Caribe - Sede Museo,4.594956500833906,-74.07651106456801,Caribbean Restaurant
148,148,ANTONIO NARIÑO,4.589768,-74.09906,Brasas y Pollos,4.602680338541254,-74.11184540900605,Restaurant
154,154,PUENTE ARANDA,4.6149,-74.1227,Don Chucho - Gallina Dorada a la Brasa,4.620184926050627,-74.12207192317987,Restaurant
156,156,PUENTE ARANDA,4.6149,-74.1227,Resturante El Carnal,4.619656501096342,-74.13510116231876,Mexican Restaurant
158,158,PUENTE ARANDA,4.6149,-74.1227,Albondigas Del Paisa,4.615598406441243,-74.11042501201335,Latin American Restaurant
161,161,PUENTE ARANDA,4.6149,-74.1227,La Poche Pescaderia,4.61206854353066,-74.13515846076845,Seafood Restaurant
167,167,PUENTE ARANDA,4.6149,-74.1227,Restaurante León,4.614509516631832,-74.10373111578258,South American Restaurant
